Name   Lat    Lon    H(m)    EpiDist(Km)    
AMT    42.63  13.28  950     8.5
ANT    42.41  13.07  568     33.6
ASP    42.84  13.64  89      37.8
CLF    43.03  12.92  701     45.5
CSC    42.71  13.01  683     18.3
FEMA   42.96  13.04  1370    32.9
FOS    43.01  12.83  954     47.9
LSS    42.55  12.96  1065    26.7
MNF    43.05  13.18  644     40.3
MSC    42.52  13.35  1335    21.3
NRC    42.79  13.09  616     15.3
PZI1   42.43  13.32  908     30.2
RM33   42.50  13.21  1097    21.1
SNO    43.03  13.30  531     38.1
SPD    42.51  13.37  1338    23.3
SPM    42.72  12.75  778     39.6
TERO   42.62  13.60  673     31.5
TRE    42.87  12.73  261     45.3
TRL    42.46  12.93  1226    36.1













